ADCMAP,2568,2174
ADCMAP,2572,2176
ADCMAP,2576,2179
ADCMAP,2580,2184
ADCMAP,2584,2186
ADCMAP,2588,2190
ADCMAP,2592,2192
ADCMAP,2596,2197
ADCMAP,2600,2200
ADCMAP,2604,2203
ADCMAP,2608,2206
ADCMAP,2612,2210
ADCMAP,2616,2213
ADCMAP,2620,2217
ADCMAP,2624,2220
ADCMAP,2628,2223
ADCMAP,2632,2225
ADCMAP,2636,2229
ADCMAP,2640,2233
ADCMAP,2644,2235
ADCMAP,2648,2238
ADCMAP,2652,2242
ADCMAP,2656,2246
ADCMAP,2660,2249
ADCMAP,2664,2252
ADCMAP,2668,2254
ADCMAP,2672,2259
ADCMAP,2676,2261
ADCMAP,2680,2266
ADCMAP,2684,2268
ADCMAP,2688,2272
ADCMAP,2692,2275
ADCMAP,2696,2277
ADCMAP,2700,2280
ADCMAP,2704,2284
ADCMAP,2708,2287
ADCMAP,2712,2290
ADCMAP,2716,2293
ADCMAP,2720,2296
ADCMAP,2724,2301
ADCMAP,2728,2303
ADCMAP,2732,2306
ADCMAP,2736,2309
ADCMAP,2740,2312
ADCMAP,2744,2316
ADCMAP,2748,2320
ADCMAP,2752,2322
ADCMAP,2756,2325
ADCMAP,2760,2330
ADCMAP,2764,2333
ADCMAP,2768,2335
ADCMAP,2772,2337
ADCMAP,2776,2341
ADCMAP,2780,2345
ADCMAP,2784,2348
ADCMAP,2788,2351
ADCMAP,2792,2354
ADCMAP,2796,2357
ADCMAP,2800,2361
ADCMAP,2804,2364
ADCMAP,2808,2367
ADCMAP,2812,2370
ADCMAP,2816,2372
ADCMAP,2820,2376
ADCMAP,2824,2379
ADCMAP,2828,2382
ADCMAP,2832,2386
ADCMAP,2836,2389
ADCMAP,2840,2392
ADCMAP,2844,2395
ADCMAP,2848,2398
ADCMAP,2852,2402
ADCMAP,2856,2404
ADCMAP,2860,2408
ADCMAP,2864,2410
ADCMAP,2868,2414
ADCMAP,2872,2417
ADCMAP,2876,2419
ADCMAP,2880,2424
ADCMAP,2884,2426
ADCMAP,2888,2430
ADCMAP,2892,2432
ADCMAP,2896,2435
ADCMAP,2900,2438
ADCMAP,2904,2443
ADCMAP,2908,2445
ADCMAP,2912,2448
ADCMAP,2916,2450
ADCMAP,2920,2456
ADCMAP,2924,2458
ADCMAP,2928,2460
ADCMAP,2932,2463
ADCMAP,2936,2465
ADCMAP,2940,2471
ADCMAP,2944,2473
ADCMAP,2948,2475
ADCMAP,2952,2479
ADCMAP,2956,2482
ADCMAP,2960,2484
ADCMAP,2964,2489
ADCMAP,2968,2491
ADCMAP,2972,2494
ADCMAP,2976,2498
ADCMAP,2980,2501
ADCMAP,2984,2503
ADCMAP,2988,2505
ADCMAP,2992,2510
ADCMAP,2996,2512
ADCMAP,3000,2516
